index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
1795,b4495,w12929,o20011,final fantasy: the spirits within,2001,137000000.0,85100000.0,-0.3788321167883212,2001-07-11 00:00:00,7.0,3.0,192.0,27.0,1.0,106.0,3.0,[Chris S. Capp],[Square Pictures],['Alec Baldwin*'],Hironobu Sakaguchi|Motonori Sakakibara,['Jeff Vintar'],Sony / Columbia,['Elliot Goldenthal'],,,['Alec Baldwin'],"['Hironobu Sakaguchi', 'Motonori Sakakibara']",['Jeff Vintar'],['Sony / Columbia'],['Elliot Goldenthal'],[''],[''],52.84149819521753,-0.7576642335766424,1.5145012165450118,10323350.972545363,19.288653071783106,0.0,0.0
1796,b4498,w12949,o20312,find me guilty,2006,13000000.0,2600000.0,-0.8,2006-03-17 00:00:00,3.0,1.0,76.0,11.0,0.0,125.0,4.0,[Tom Swartwout],,['Vin Diesel'],['Sidney Lumet'],,Yari Film Group,[Jonathan Tunick],[Ron Fortunato],"""['Bob Yari', 'George Zakk']""",['Vin Diesel'],['Sidney Lumet'],[''],['Yari Film Group'],['Jonathan Tunick'],['Ron Fortunato'],"['Bob Yari', 'George Zakk']",1102880.2149861502,38.447262635320605,0.0,-0.19901358665545543,-0.8,-1.4820350909090911,1102864.903957545
1797,b4503,w12959,o5364,finding dory,2016,200000000.0,1.029,-0.9999999948549999,2016-06-17 00:00:00,6.0,2.0,169.0,24.0,0.0,97.0,2.0,[Axel Geddes],"""[Walt Disney Pictures, Pixar Animation Studios]""","""['Ellen DeGeneres', 'Albert Brooks', """"Ed O'Neill """", 'Ty Burrell*', 'Diane Keaton*', 'Eugene Levy* ', 'Idris Elba*', 'Dominic West* ', 'Andrew Stanton*', 'Bob Peterson*', 'Bill Hader* ', 'Kate McKinnon* ', 'Sigourney Weaver*']""","""['Angus MacLane ', 'Andrew Stanton']""",['Andrew Stanton'],Buena Vista,['Thomas Newman'],[Jeremy Lasky],[Lindsey Collins],"['Ellen DeGeneres', 'Albert Brooks', 'Ed ONeill ', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy ', 'Idris Elba', 'Dominic West ', 'Andrew Stanton', 'Bob Peterson', 'Bill Hader ', 'Kate McKinnon ', 'Sigourney Weaver']","['Angus MacLane ', 'Andrew Stanton']",['Andrew Stanton'],['Buena Vista'],['Thomas Newman'],['Jeremy Lasky'],['Lindsey Collins'],3015911.802931788,8.965969277429483,26.97880427228448,9337938.263981039,1233099.1245321701,2810510.8229709384,-0.9999999948549999
1798,b4506,w12960,o10626,finding forrester,2000,43000000.0,80049764.0,0.8616224186046512,2000-12-22 00:00:00,12.0,4.0,357.0,51.0,1.0,136.0,3.0,[ValdiÌs OÌskarsdoÌttir],,"""['Sean Connery', 'Anna Paquin', 'Matt Damon*']""",['Gus Van Sant'],,Sony / Columbia,,['Harris Savides'],['Laurence Mark'],"['Sean Connery', 'Anna Paquin', 'Matt Damon']",['Gus Van Sant'],[''],['Sony / Columbia'],[''],['Harris Savides'],['Laurence Mark'],165.46849140456908,23.898147056937987,0.0,10323350.972545363,0.0,5.531331813934321,20.02614411527249
1799,b4511,w12971,o9698,finding nemo,2003,94000000.0,940300000.0,9.003191489361704,2003-05-30 00:00:00,5.0,2.0,150.0,21.0,1.0,100.0,7.0,[David Ian Salter],"""[Walt Disney Pictures, Pixar Animation Studios]""","""['Albert Brooks', 'Ellen DeGeneres', 'Willem Dafoe*', 'Eric Bana*', 'Geoffrey Rush*']""","""['Andrew Stanton', 'Lee Unkrich']""","""['Bob Peterson', 'David Reynolds', 'Andrew Stanton']""",Buena Vista,['Thomas Newman'],"""[Sharon Calahan, Jeremy Lasky]""",['John Lasseter'],"['Albert Brooks', 'Ellen DeGeneres', 'Willem Dafoe', 'Eric Bana', 'Geoffrey Rush']","['Andrew Stanton', 'Lee Unkrich']","['Bob Peterson', 'David Reynolds', 'Andrew Stanton']",['Buena Vista'],['Thomas Newman'],"['Sharon Calahan', 'Jeremy Lasky']",['John Lasseter'],168.49310241527724,22.501162428312853,45.678187251007884,9337938.263981039,1233099.1245321701,5621024.382225214,2855779.122650472
1800,b4513,w12972,,finding neverland ,2004,25000000.0,116800000.0,3.672,2004-11-12 00:00:00,11.0,4.0,317.0,45.0,1.0,101.0,2.0,[Matt Chesse],[FilmColony],"""['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell', 'Dustin Hoffman', 'Freddie Highmore']""",['Marc Forster'],['David Magee'],Miramax,[Jan A. P. Kaczmarek],[Roberto Schaefer],['Michael Dreyer '],"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell', 'Dustin Hoffman', 'Freddie Highmore']",['Marc Forster'],['David Magee'],['Miramax'],['Jan A. P. Kaczmarek'],['Roberto Schaefer'],['Michael Dreyer '],414.9997367351952,18.301476763157893,7.747,395.84360476501183,3.2991182,16.233538166666666,3.672
1801,,w12995,o19670,fingers at the window,22-Apr-42,320000.0,548000.0,0.7125,2042-09-15 00:00:00,9.0,3.0,258.0,37.0,0.0,80.0,,[George Boemler],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,,w12996,,finian's rainbow ,,3500000.0,11600000.0,2.3142857142857145,,,,,,,,,[Melvin Shapiro],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1803,,w13003,,fire and ice (1983 film),,1200000.0,760883.0,-0.3659308333333333,,,,,,,,,[A. David Marshall],[Producers Sales Organization],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804,b4517,w13005,o15008,fire birds,1990,22000000.0,14760451.0,-0.3290704090909091,1990-05-25 00:00:00,5.0,2.0,145.0,20.0,1.0,87.0,3.0,"""[Norman Buckley, Dennis M. O'Connor, Jon Poll]""","""[Touchstone Pictures, Nova International Films]""","""['Nicolas Cage', 'Tommy Lee Jones']""",David Green,,Buena Vista,[David Newman],[Tony Imi],"""['Bill Badalato', 'Arnold Kopelson']""","['Nicolas Cage', 'Tommy Lee Jones']",['David Green'],[''],['Buena Vista'],['David Newman'],['Tony Imi'],"['Bill Badalato', 'Arnold Kopelson']",4237316.245512509,-0.3290704090909091,0.0,9337938.263981039,1883035.4220828305,-0.3290704090909091,47.92730118581993
1805,b4526,w13033,o18688,fired up!,2009,20000000.0,18599102.0,-0.0700449,2009-02-20 00:00:00,2.0,1.0,51.0,7.0,1.0,89.0,3.0,[Tracey Wadmore-Smith],,Nicholas D'Agosto|Eric Christian Olsen|Sarah Roemer|Molly Sims,['Will Gluck'],,Sony / Screen Gems,[Richard Gibbs],[Thomas E. Ackerman],['Will Gluck'],"['Nicholas DAgosto', 'Eric Christian Olsen', 'Sarah Roemer', 'Molly Sims']",['Will Gluck'],[''],['Sony / Screen Gems'],['Richard Gibbs'],['Thomas E. Ackerman'],['Will Gluck'],10.881794084210526,9.363416638461539,0.0,99.92383911370032,11.425515188552263,25.887444261527726,12.283416638461539
1806,b4529,w13037,o16545,fireflies in the garden,2008,8000000.0,3393161.0,-0.575854875,2011-10-14 00:00:00,10.0,4.0,287.0,41.0,1.0,98.0,4.0,"""[Dede Allen, Robert Brakey]""",,"""['Julia Roberts', 'Ryan Reynolds', 'Willem Dafoe', 'Emily Watson', 'Hayden Panettiere', 'Ioan Gruffudd']""",Dennis Lee,,Unknown,,[Daniel Moder],"""[Sukee Chew, Vanessa Coifman, Marco Weber]""","['Julia Roberts', 'Ryan Reynolds', 'Willem Dafoe', 'Emily Watson', 'Hayden Panettiere', 'Ioan Gruffudd']",['Dennis Lee'],[''],['Unknown'],[''],['Daniel Moder'],"['Sukee Chew', 'Vanessa Coifman', 'Marco Weber']",2487542.3652584306,-0.575854875,0.0,-1.301760625,0.0,-0.575854875,-2.4539748392857144
1807,b4530,w13041,,firefox ,1982,21000000.0,46708276.0,1.224203619047619,1982-06-18 00:00:00,6.0,2.0,169.0,24.0,0.0,136.0,2.0,"""[Ron Spang, Ferris Webster]""",[Malpaso Productions],['Clint Eastwood'],['Clint Eastwood'],,Warner Bros.,[Maurice Jarre],[Bruce Surtees],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],[''],['Warner Bros.'],['Maurice Jarre'],['Bruce Surtees'],['Clint Eastwood'],1584049.0082618992,76.77258453470567,0.0,15505963.552973289,2411786.0204385794,66.59240217867965,51.55867601515354
1808,,w13046,,firelight (1964 film),,500.0,501.0,0.002,,,,,,,,,[Steven Spielberg (uncredited)],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1809,b4533,w13054,,fireproof ,2008,500000.0,33473297.0,65.94659399999999,2008-09-26 00:00:00,9.0,3.0,270.0,38.0,0.0,122.0,2.0,"""[Alex Kendrick, Bill Ebel]""",[Sherwood Pictures],"""['Alex Kendrick', 'Kirk Cameron', 'Erin Bethea', 'Ken Bevel']""",['Alex Kendrick'],"""['Alex Kendrick', 'Stephen Kendrick']""",Samuel Goldwyn,[Mark Willard],[Bob Scott],"""['Alex Kendrick', 'Stephen Kendrick']""","['Alex Kendrick', 'Kirk Cameron', 'Erin Bethea', 'Ken Bevel']",['Alex Kendrick'],"['Alex Kendrick', 'Stephen Kendrick']",['Samuel Goldwyn'],['Mark Willard'],['Bob Scott'],"['Alex Kendrick', 'Stephen Kendrick']",381.4790765,207.20596116666667,367.278589,170.9972820403673,183.6392945,82.20770449999999,374.58414516666664
1810,b4534,w13060,,firestarter ,1984,15000000.0,17100000.0,0.14,1984-05-11 00:00:00,5.0,2.0,132.0,19.0,0.0,114.0,4.0,"""[David Rawlins, Ronald Sanders]""",[Dino de Laurentiis Company],['Drew Barrymore'],['Mark L. Lester'],,Universal,[Tangerine Dream],[Giuseppe Ruzzolini],"""[Frank Capra, Jr., Martha Schumacher]""",['Drew Barrymore'],['Mark L. Lester'],[''],['Universal'],['Tangerine Dream'],['Giuseppe Ruzzolini'],"['Frank Capra', 'Jr.', 'Martha Schumacher']",339.3069565012986,-1.0994432692307692,0.0,5289808.384345475,1641851.7847158797,0.14,25.73924904852893
1811,,w13061,,firestorm (1998 film),,19000000.0,8165212.0,-0.5702520000000001,,,,,,,,,[Jack Hofstra],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1812,b4537,w13063,,firewall ,2006,50000000.0,82800000.0,0.6559999999999999,2006-02-10 00:00:00,2.0,1.0,41.0,6.0,0.0,105.0,3.0,[Jim Page],,"""['Harrison Ford', 'Paul Bettany', 'Virginia Madsen']""",['Richard Loncraine'],,Warner Bros.,['Alexandre Desplat'],[Marco Pontecorvo],['Dana Goldberg'],"['Harrison Ford', 'Paul Bettany', 'Virginia Madsen']",['Richard Loncraine'],[''],['Warner Bros.'],['Alexandre Desplat'],['Marco Pontecorvo'],['Dana Goldberg'],627.4623039695676,0.6559999999999999,0.0,15505963.552973289,59.321436500146106,2.3226666666666667,2526508.980912681
1813,b4540,w13073,o21713,first blood,1982,15000000.0,125200000.0,7.346666666666668,1982-10-22 00:00:00,10.0,4.0,295.0,42.0,0.0,93.0,4.0,[Joan E. Chapman],"""[Anabasis N.V., Elcajo Productions]""",['Sylvester Stallone'],Ted Kotcheff,['Sylvester Stallone'],Orion Pictures,['Jerry Goldsmith'],[Andrew Laszlo],"""[Buzz Feitshans, Mario Kassar, Andrew G. Vajna]""",['Sylvester Stallone'],['Ted Kotcheff'],['Sylvester Stallone'],['Orion Pictures'],['Jerry Goldsmith'],['Andrew Laszlo'],"['Buzz Feitshans', 'Mario Kassar', 'Andrew G. Vajna']",4090783.8074971205,7.841752063157895,262.4387262666601,90.44137298349601,121.5543219874766,12.310964912280703,31.656570806360172
1814,b4544,w13089,o5106,first kid,1996,15000000.0,26491793.0,0.7661195333333334,1996-08-30 00:00:00,8.0,3.0,243.0,34.0,1.0,101.0,2.0,[Harry Keramidas],"""[Walt Disney Pictures, Caravan Pictures]""",['Sinbad'],['David M. Evans'],['Tim Kelleher'],Buena Vista,[Richard Gibbs],[Anthony B. Richmond],"""['Roger Birnbaum', 'Tim Kelleher']""",['Sinbad'],['David M. Evans'],['Tim Kelleher'],['Buena Vista'],['Richard Gibbs'],['Anthony B. Richmond'],"['Roger Birnbaum', 'Tim Kelleher']",4.061522065546218,4.5993071047619045,0.8886195333333333,9337938.263981039,11.425515188552263,24.672964350603774,2645892.8064231332
1815,b4545,w13094,o20666,first knight,1995,55000000.0,127600000.0,1.32,1995-07-07 00:00:00,7.0,3.0,188.0,27.0,1.0,134.0,3.0,[Walter Murch],[Zucker Brothers Entertainment],"""['Sean Connery', 'Richard Gere']""",['Jerry Zucker'],['William Nicholson'],Sony / Columbia,['Jerry Goldsmith'],[Adam Greenberg],"""['Hunt Lowry', 'Jerry Zucker']""","['Sean Connery', 'Richard Gere']",['Jerry Zucker'],['William Nicholson'],['Sony / Columbia'],['Jerry Goldsmith'],['Adam Greenberg'],"['Hunt Lowry', 'Jerry Zucker']",102.29808066563085,2411772.7626879085,5.275781637717122,10323350.972545363,121.5543219874766,47.65060040902298,4823558.084459879
1816,,w13095,,first lady ,,485000.0,424000.0,-0.12577319587628866,,,,,,,,,[],[Warner Bros.],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1817,,w13099,,first love (1977 film),,3000000.0,9400000.0,2.1333333333333333,,,,,,,,,[Frank Morriss],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1818,b4554,w13138,o5260,fist fight,2017,25000000.0,41000000.0,0.64,2017-02-17 00:00:00,2.0,1.0,48.0,7.0,1.0,91.0,4.0,[Matthew Freund],,"""['Ice Cube', 'Charlie Day', 'Dennis Haysbert', 'Christina Hendricks', 'Tracy Morgan', 'Dean Norris']""",['Richie Keen'],,Warner Bros. (New Line),[Dominic Lewis],[Eric Alan Edwards],,"['Ice Cube', 'Charlie Day', 'Dennis Haysbert', 'Christina Hendricks', 'Tracy Morgan', 'Dean Norris']",['Richie Keen'],[''],['Warner Bros. (New Line)'],['Dominic Lewis'],['Eric Alan Edwards'],[''],75.24720953614766,0.64,0.0,572.5899426682522,7.563816341651812,20.89627282711154,0.0
1819,b4560,w13165,o21714,five days one summer,1982,15000000.0,199078.0,-0.9867281333333332,1982-11-12 00:00:00,11.0,4.0,316.0,45.0,1.0,96.0,2.0,[Stuart Baird],,['Sean Connery'],Fred Zinnemann,,Warner Bros.,['Elmer Bernstein'],[Giuseppe Rotunno],"""[Peter Beale, Fred Zinnemann]""",['Sean Connery'],['Fred Zinnemann'],[''],['Warner Bros.'],['Elmer Bernstein'],['Giuseppe Rotunno'],"['Peter Beale', 'Fred Zinnemann']",34.73176383714855,14.451628031050229,0.0,15505963.552973289,52.22736822172229,0.03002451271614806,-1.9734562666666664
1820,b4562,w13167,o12877,five easy pieces,12-Sep,1600000.0,18100000.0,10.3125,1970-09-12 00:00:00,9.0,3.0,255.0,36.0,1.0,96.0,4.0,"""[Christopher Holmes, Gerald Shepard]""",[BBS Productions],['Jack Nicholson'],Bob Rafelson,,Columbia,,[LaÌszloÌ KovaÌcs],"""[Bob Rafelson, Richard Wechsler]""",['Jack Nicholson'],['Bob Rafelson'],[''],['Columbia'],[''],['LaÌ\x81szloÌ\x81 KovaÌ\x81cs'],"['Bob Rafelson', 'Richard Wechsler']",232.3976505639358,8.491342025641027,0.0,5801048.290532906,0.0,210.31810424145783,20.641666666666666
1821,,w13172,o14284,five graves to cairo,1943,855000.0,1650000.0,0.9298245614035088,2043-05-26 00:00:00,5.0,2.0,146.0,21.0,0.0,96.0,,[Doane Harrison],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1822,,w13180,o19407,five minutes to live,1961,300000.0,5655000.0,17.85,2064-02-01 00:00:00,2.0,1.0,32.0,4.0,0.0,80.0,,[Donald Nosseck],[Somera Productions-Flower Film Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1823,,w13190,,five weeks in a balloon ,,2340000.0,1200000.0,-0.4871794871794872,,,,,,,,,[George Boemler],[Cambridge Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1824,b4570,w13202,,flags of our fathers ,2006,90000000.0,65900000.00000001,-0.2677777777777777,2006-10-20 00:00:00,10.0,4.0,293.0,42.0,0.0,131.0,4.0,[Joel Cox],,"""['Ryan Phillippe', 'Jesse Bradford', 'Adam Beach', 'John Slattery', 'Barry Pepper', 'Jamie Bell', 'Paul Walker', 'Robert Patrick', 'Neal McDonough']""",['Clint Eastwood'],['Paul Haggis'],Paramount (DreamWorks),['Clint Eastwood'],[Tom Stern],"""['Clint Eastwood', 'Robert Lorenz', 'Steven Spielberg']""","['Ryan Phillippe', 'Jesse Bradford', 'Adam Beach', 'John Slattery', 'Barry Pepper', 'Jamie Bell', 'Paul Walker', 'Robert Patrick', 'Neal McDonough']",['Clint Eastwood'],['Paul Haggis'],['Paramount (DreamWorks)'],['Clint Eastwood'],['Tom Stern'],"['Clint Eastwood', 'Robert Lorenz', 'Steven Spielberg']",105.8309693169264,76.77258453470567,10.10395372489194,8579701.403204354,40.51278932178932,38.57365414516814,295.9368205250731
1825,,w13205,o12719,flame and the flesh,1954,1275000.0,2294000.0,0.7992156862745098,2054-05-05 00:00:00,5.0,2.0,125.0,18.0,0.0,104.0,,"""[Albert Akst, Raymond Poulton]""",,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1826,,w13236,o6565,flaming star,1960,1700000.0,2000000.0,0.17647058823529413,2060-12-20 00:00:00,12.0,4.0,355.0,51.0,0.0,92.0,,[Hugh S. Fowler],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1827,,w13242,,flamingo road ,,1500000.0,2900000.0,0.9333333333333332,,,,,,,,,[Folmar Blangsted],[Michael Curtiz Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1828,,w13251,,flash of genius ,,20000000.0,4802953.0,-0.75985235,,,,,,,,,[Jill Savitt],"""[Spyglass Entertainment, Strike Entertainment]""",,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,b4583,w13255,o22381,flashdance,1983,7000000.0,201500000.0,27.785714285714285,1983-04-15 00:00:00,4.0,2.0,105.0,15.0,0.0,97.0,4.0,"""[Walt Mulconery, Bud Smith]""","""[PolyGram Filmed Entertainment, Don Simpson Productions, Jerry Bruckheimer Films]""",Jennifer Beals|Michael Nouri|Lilia Skala|Sunny Johnson,Adrian Lyne,['Joe Eszterhas'],Paramount,[Giorgio Moroder],[Donald Peterman],"""['Jerry Bruckheimer', 'Jon Peters']""","['Jennifer Beals', 'Michael Nouri', 'Lilia Skala', 'Sunny Johnson']",['Adrian Lyne'],['Joe Eszterhas'],['Paramount'],['Giorgio Moroder'],['Donald Peterman'],"['Jerry Bruckheimer', 'Jon Peters']",113.26946286195826,33.8455037593985,33.10696332981859,10229619.047976788,69.25270385521362,55.3305227652011,1642326.7360010867
1830,b4585,w13265,o15009,flatliners,1990,26000000.0,61500000.0,1.3653846153846154,1990-08-10 00:00:00,8.0,3.0,222.0,31.0,0.0,115.0,4.0,[Robert Brown],"""[Columbia Pictures, Stonebridge Entertainment]""","""['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon', 'William Baldwin', 'Oliver Platt']""",['Joel Schumacher'],,Columbia,['James Newton Howard'],[Jan de Bont],"""['Michael Douglas', 'Scott Rudin']""","['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon', 'William Baldwin', 'Oliver Platt']",['Joel Schumacher'],[''],['Columbia'],['James Newton Howard'],['Jan de Bont'],"['Michael Douglas', 'Scott Rudin']",5214.120233002415,16.189855551993105,0.0,5801048.290532906,1875528.6496372758,21.7730419836037,128.69828466894916
1831,,w13276,,flesh (1932 film),,480000.0,837000.0,0.74375,,,,,,,,,[William S. Gray],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,b4591,w13280,,flesh and blood (1985 film),1985,6500000.0,100000.0,-0.9846153846153848,1985-08-30 00:00:00,8.0,3.0,242.0,34.0,1.0,126.0,4.0,[Ine Schenkkan],,"""['Rutger Hauer', 'Jennifer Jason Leigh']""",['Paul Verhoeven'],,Orion Pictures,[Basil Poledouris],[Jan de Bont],[Gijs Versluys],"['Rutger Hauer', 'Jennifer Jason Leigh']",['Paul Verhoeven'],[''],['Orion Pictures'],['Basil Poledouris'],['Jan de Bont'],['Gijs Versluys'],3540913.623467942,9.31928649462484,0.0,90.44137298349601,21.268411745650727,21.7730419836037,-0.9846153846153848
1833,,w13285,o11447,flesh gordon,1974,470000.0,906000.0,0.9276595744680852,1974-07-30 00:00:00,7.0,3.0,211.0,30.0,0.0,,4.0,[Abbas Amin],[Graffiti Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1834,,w13288,,fletch ,,8000000.0,59612888.0,6.451611,,,,,,,,,[Richard A. Harris],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,b4595,w13289,o15861,fletch lives,17-Mar,8000000.0,39450960.0,3.93137,1989-03-17 00:00:00,3.0,1.0,76.0,11.0,0.0,95.0,2.0,[Richard A. Harris],,['Chevy Chase'],Michael Ritchie,,Universal,[Harold Faltermeyer],[John McPherson],"""[Peter Douglas, Alan Greisman]""",['Chevy Chase'],['Michael Ritchie'],[''],['Universal'],['Harold Faltermeyer'],['John McPherson'],"['Peter Douglas', 'Alan Greisman']",12.52621801755905,7.990673632758366,0.0,5289808.384345475,61.376027087542084,5.187891739130435,10.277914307113939
1836,,w13294,,flight (2012 film),,31000000.0,161800000.0,4.219354838709678,,,,,,,,,[Jeremiah O'Driscoll],"""[Parkes + MacDonald Prods., ImageMovers]""",,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1837,,w13301,o12462,flight command,1940,837000.0,2292000.0,1.7383512544802868,2040-12-27 00:00:00,12.0,4.0,362.0,52.0,0.0,115.0,,[Robert Kern],[Metro-Goldwyn-Mayer],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,b4601,w13314,o13748,flight of the intruder,1991,30000000.0,14587732.0,-0.5137422666666667,1991-01-18 00:00:00,1.0,1.0,18.0,2.0,1.0,115.0,3.0,"""[Steve Mirkovich, Carroll Timothy O'Meara, Peck Prior]""",,"""['Danny Glover', 'Willem Dafoe', 'John Corbett*']""",John Milius,,Paramount,[Basil Poledouris],[Fred J. Koenekamp],['Ralph Winter'],"['Danny Glover', 'Willem Dafoe', 'John Corbett']",['John Milius'],[''],['Paramount'],['Basil Poledouris'],['Fred J. Koenekamp'],['Ralph Winter'],4090670.253724364,0.9394504902777778,0.0,10229619.047976788,21.268411745650727,28.151459721484926,2487354.243621623
1839,b4602,w13317,o8383,flight of the navigator,1986,9000000.0,18564613.0,1.0627347777777778,1986-07-30 00:00:00,7.0,3.0,211.0,30.0,0.0,90.0,2.0,"""[Jeff Gourson, Janice Parker]""","""[Walt Disney Pictures, Producers Sales Organization, New Star Entertainment]""",['Sarah Jessica Parker'],Randal Kleiser,,Buena Vista,['Alan Silvestri'],"""[James Glennon, Eric McGraw]""","""[Dimitri Villard, Robert Wald]""",['Sarah Jessica Parker'],['Randal Kleiser'],[''],['Buena Vista'],['Alan Silvestri'],"['James Glennon', 'Eric McGraw']","['Dimitri Villard', 'Robert Wald']",19.347103587714344,1.7177347777777778,0.0,9337938.263981039,1611041.2771670255,1.8798190849673202,2.1254695555555556
1840,b4603,w13318,,flight of the phoenix (2004 film),2004,45000000.0,34586268.0,-0.2314162666666667,2004-12-17 00:00:00,12.0,4.0,352.0,50.0,1.0,113.0,3.0,[Don Zimmerman],[Davis Entertainment],"""['Dennis Quaid', 'Tyrese Gibson', 'Giovanni Ribisi', 'Miranda Otto', 'Hugh Laurie']""",['John Moore'],['Scott Frank'],Fox,['Marco Beltrami'],[Brendan Galvin],"""['John Davis', 'Wyck Godfrey']""","['Dennis Quaid', 'Tyrese Gibson', 'Giovanni Ribisi', 'Miranda Otto', 'Hugh Laurie']",['John Moore'],['Scott Frank'],['Fox'],['Marco Beltrami'],['Brendan Galvin'],"['John Davis', 'Wyck Godfrey']",5262008.256832129,8.611968826501034,19.997483912091017,13539473.716561431,6374108.080499868,3.967524909803921,133.68296834773813
1841,b4604,w13330,o18259,flightplan,2005,50000000.0,223400000.0,3.468,2005-09-23 00:00:00,9.0,3.0,266.0,38.0,0.0,98.0,3.0,[Thom Noble],,"""['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean', 'Erika Christensen']""",['Robert Schwentke'],['Billy Ray'],Buena Vista,['James Horner'],[Florian Ballhaus],['Brian Grazer'],"['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean', 'Erika Christensen']",['Robert Schwentke'],['Billy Ray'],['Buena Vista'],['James Horner'],['Florian Ballhaus'],['Brian Grazer'],129.85611728671373,7.154507464167038,12.531267749466878,9337938.263981039,3295300.6519635036,23.3983918613958,1233036.796063878
1842,b4605,w13340,,flipped ,2010,14000000.0,1755212.0,-0.8746277142857143,2010-08-06 00:00:00,8.0,3.0,218.0,31.0,0.0,90.0,2.0,[Robert Leighton],[Castle Rock Entertainment],"""['Cody Horn*', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney', 'Aidan Quinn']""",['Rob Reiner'],,Warner Bros.,['Marc Shaiman'],[Thomas Del Ruth],"""[Rob Reiner, Alan Greisman]""","['Cody Horn', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney', 'Aidan Quinn']",['Rob Reiner'],[''],['Warner Bros.'],['Marc Shaiman'],['Thomas Del Ruth'],"['Rob Reiner', 'Alan Greisman']",33.34583131212518,5800010.659964291,0.0,15505963.552973289,5800042.579988025,98.42375514448514,5800005.728529957
1843,,w13342,,flipper (1996 film),,25000000.0,20080020.0,-0.1967992,,,,,,,,,[Peck Prior],[The Bubble Factory],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
